"temperature","light","N_NH4","N_NO3","N_NO2","P_PO4","Si_SiO2","DIN","NIDtoPO4","TP","TN","TNtoTP","DINtoTP","Porg_algae","Norg_algae","NorgToPorg","Chl_a","phycobilins","phycoerythrin","tot_pigm"
22.6,16779,2.634,1.755,0.277,3.08,10.334,4.666,0.461,7.685,32.326,4.206,0.61,93.342,46.097,0.494,0.061,0.309,0.218,0.37
22.6,16779,1.924,1.441,0.247,3.005,9.14,3.612,1.202,7.902,29.291,3.707,0.46,88.619,47.269,0.533,0.064,0.292,0.208,0.356
22.6,16779,1.879,1.478,0.256,3.146,8.317,3.614,1.149,7.945,38.314,4.822,0.45,94.968,46.851,0.493,0.062,0.301,0.213,0.363
22.4,16749,1.87,2.586,0.233,0.69,8.883,4.689,6.797,1.207,22.898,18.97,3.89,69.37,10.769,0.155,0.052,0.317,0.249,0.369
22.4,16749,1.418,2.37,0.216,0.641,10.167,4.005,6.244,1.178,21.771,18.484,3.4,71.506,14.672,0.205,0.058,0.354,0.283,0.412
22.4,16749,1.428,2.231,0.212,0.635,8.675,3.871,6.092,1.309,25.519,19.49,2.96,71.888,13.409,0.187,0.055,0.336,0.266,0.391
32.2,55341,0.114,0.851,0.032,0.253,3.054,0.997,3.936,1.439,41.024,28.506,0.69,125.157,36.626,0.293,0.068,0.316,0.224,0.384
32.2,55341,0.06,0.846,0.029,0.288,3.227,0.935,3.243,1.897,39.156,20.642,0.49,100.01,33.744,0.337,0.071,0.289,0.215,0.36
32.2,55341,0.01,0.686,0.035,0.286,3.152,0.732,2.563,1.755,51.843,29.538,0.42,90.334,38.989,0.432,0.069,0.303,0.219,0.372
32,52642,0.08,1.062,0.028,0.269,3.083,1.169,4.348,1.366,37.719,27.621,0.86,78.91,5.198,0.066,0.059,0.358,0.274,0.417
32,52642,0.001,0.899,0.035,0.27,3.067,0.934,3.463,1.703,46.887,27.53,0.55,78.626,5.729,0.073,0.087,0.309,0.241,0.396
32,52642,0.001,0.655,0.025,0.18,2.394,0.68,3.777,1.108,32.203,29.054,0.61,77.21,7.919,0.103,0.073,0.334,0.258,0.407
