"index","Flavobacteriaceae_Aquimarina","Flavobacteriaceae_AquimarinaNS08","Flavobacteriaceae_Maribacter","Nostocaceae_Calothrix","Nostocaceae_Cylindrospermopsis","Nostocaceae_Richelia","Nostocaceae_Rivularia","Nostocaceae_unc","Xenococcaceae_Chroococcidiopsis","Xenococcaceae_Gloeocapsopsis","Xenococcaceae_Pleurocapsa","Xenococcaceae_Xenococcus","Xenococcaceae_XenococcusPCC-7305","Xenococcaceae_uncultured1","Rhodobacteraceae_Actibacterium","Rhodobacteraceae_Albimonas","Rhodobacteraceae_HIMB11","Rhodobacteraceae_Jannaschia","Rhodobacteraceae_Lentibacter","Rhodobacteraceae_Loktanella","Rhodobacteraceae_Roseivivax","Rhodobacteraceae_Roseobacter","Roseobacter_clade_NAC11-7","Rhodobacteraceae_Rubrimonas","Rhodobacteraceae_Sediminimonas","Rhodobacteraceae_Silicimonas","Rhodobacteraceae_Sulfitobacter","Rhodobacteraceae_Tateyamaria","Rhodobacteraceae_uncultured3","Desulfobulbaceae_Desulfopila","Shewanellaceae_Ferrimonas","Gammaprot_OM60(NOR5)","Spongiibacteraceae_BD1-7","Spongiibacteraceae_uncultured1","Spongiibacteraceae_uncultured2","Hahellaceae_Hahella","Woeseiaceae_Woeseia","Thiohalorhabdaceae_Granulosicoccus","Thiohalorhabdaceae_unc","Spirochaetaceae_Alkalispirochaeta","Spirochaetaceae_Salinispira"
"algae-T1-s1-r1",0,0,239,0,0,0,0,0,312,4,135,0,0,0,0,0,0,0,35,0,0,0,0,0,0,58,0,0,618,0,0,0,14,0,0,17,69,220,0,0,0
"algae-T1-s1-r2",0,0,458,0,0,0,9,23,5262,0,535,0,0,44,0,0,0,0,170,62,0,0,0,0,0,0,13,0,4724,0,0,0,0,0,0,0,84,865,0,0,4
"algae-T1-s1-r3",17,0,2484,0,0,6,0,0,7915,0,1441,0,0,0,0,12,0,0,506,83,0,26,0,0,0,187,0,0,12715,0,21,0,40,0,0,159,169,6900,0,0,0
"algae-T1-s2-r1",0,0,230,0,0,0,0,0,443,0,355,0,0,0,0,0,0,0,150,5,0,0,0,0,0,0,0,0,1263,0,0,0,0,0,0,0,0,598,0,0,0
"algae-T1-s2-r2",72,0,2312,0,0,0,12,0,2897,0,900,0,0,0,0,0,0,0,1095,66,0,0,0,0,0,0,67,0,7327,0,0,0,31,0,0,12,98,4187,34,0,0
"algae-T1-s2-r3",37,0,1086,0,0,0,0,0,666,0,490,0,0,0,0,0,0,0,297,27,0,19,0,0,0,0,21,0,3593,0,0,0,0,0,0,0,69,2299,0,0,0
"algae-T2-s1-r1",0,0,0,0,14,15,41,39,18,0,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,641,9,0,50,276,0,0,1376,212,28,89,0,0
"algae-T2-s1-r2",0,0,17,32,14,45,271,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,8,49,0,0,0,0,293,67,15,13,0,0
"algae-T2-s1-r3",21,0,19,0,68,15,22,0,66,0,118,0,8,0,30,0,0,0,0,0,0,0,0,0,0,120,0,24,1579,10,134,0,41,118,0,2449,223,57,157,5,12
"algae-T2-s2-r1",22,0,68,14,322,21,146,35,106,0,150,18,18,0,0,0,0,0,0,36,0,0,0,0,0,156,0,85,2552,20,265,60,41,43,0,1308,250,32,25,0,0
"algae-T2-s2-r2",0,0,25,0,131,38,75,122,12,0,127,29,0,0,0,0,0,0,0,47,0,0,14,0,0,66,0,56,2013,11,205,24,83,11,0,1983,139,45,74,3,0
"algae-T2-s2-r3",12,0,0,15,9,19,60,0,21,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,21,1380,0,26,42,297,173,0,3270,418,73,244,11,6
"water-T1-s1-r1",16,0,50,0,0,0,0,0,46,0,96,0,0,0,0,0,44,8,157,85,0,20,0,0,0,0,17,0,2895,0,0,18,10,0,0,0,75,363,0,0,2
"water-T1-s1-r2",0,0,0,0,0,0,0,0,46,0,57,0,0,0,0,0,0,0,41,20,0,0,0,0,0,0,0,0,729,0,0,13,0,0,0,0,0,131,0,0,0
"water-T1-s2-r1",18,25,37,0,0,0,0,0,78,0,126,0,0,15,0,7,0,24,163,121,23,42,0,19,0,0,59,19,5824,0,0,0,40,33,7,0,11,367,0,0,0
"water-T1-s2-r2",25,21,0,0,0,0,12,0,35,0,89,0,0,0,0,0,0,8,58,40,0,0,0,0,0,0,25,26,2496,0,0,0,0,13,0,0,47,164,0,0,0
"water-T2-s1-r1",0,0,0,0,571,0,566,35,43,0,62,0,0,0,0,0,3404,0,0,0,0,0,0,0,0,46,0,0,1190,0,0,235,0,9,0,0,74,0,0,0,0
"water-T2-s1-r2",0,0,0,0,388,0,209,14,51,0,39,0,0,0,0,0,6798,15,0,0,0,0,0,0,19,0,0,32,1769,0,0,367,7,5,0,12,99,0,0,0,0
"water-T2-s2-r1",0,0,0,0,447,0,17,0,42,0,0,0,0,0,0,0,4530,0,0,0,28,0,0,0,0,47,0,32,1658,0,103,308,6,18,0,33,130,0,68,0,0
"water-T2-s2-r2",0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0
