"index","Solibacteraceae_Subg3","Thermoanaerobaculaceae","uncultured_Gaiellales","uncultured_BRC1_2","Saprospiraceae","uncult_Chitinophagales","Cyclobacteriaceae","Flammeovirgaceae","Microscillaceae","Spirosomaceae","Crocinitomicaceae","Flavobacteriaceae","Schleiferiaceae","NS11-12_marine","uncultured_OPB56","uncultured_OPB56_3","Calditrichaceae","uncult_Ardenticatenales","A4b","uncultured_SBR1031","uncult_KD4_96","uncult_Obscuribacterales","uncult_Vampirovibrionales_1","Eurycoccales_IncertSedis","Limnotrichaceae","Microcystaceae","Nostocaceae","Nostocales_IncertSedis","Oscillatoriaceae","Phormidiaceae","Xenococcaceae","uncultured_Nostocales_1","uncultured_Nostocales_2","Phormidesmiaceae","Unknown_Phormidesmiales","Unkn_Oxyphotobacteria_2","uncult_W5-15b","uncultured_BD2_11_1","uncultured_BD2_11_3","Hydrogenedensaceae","uncultured_Latescibacteria_1","uncultured_SR1_2","uncultured_SR1_4","Gracillibacteria_1","OM190_4","uncult_Planctomycetales","uncultured_Plat4_2","Gemmataceae","Pirellulaceae","Gimesiaceae","Rubinisphaeraceae","Hyphomonadaceae","PS1_clade","Beijerinckiaceae","Hyphomicrobiaceae","Methyloligellaceae","Rhizobiaceae","uncult_Rhizobiales","Rhodobacteraceae","Rhodopirillaceae_1","Midichloriaceae","Sphingomonadaceae","uncult_alphaproteobact1","uncult_alphaproteobact7","uncult_alphaproteobact8","Bdellovibrionaceae","uncult_Bradymonadales_1","uncult_Bradymonadales_3","uncult_Bradymonadales_5","Desulfobulbaceae","BIrii41","Nannocystaceae","UASB-TL25","uncultured_NB1_j_1","Alteromonadaceae","Shewanellaceae","Arenicellaceae","uncult_BD7-8","Beggiatoaceae","Burkholderiaceae","Cellvibrionaceae","Halieaceae","Spongiibacteraceae","Chromatiaceae","Diplorickettsiaceae","EPR3968_O8a_Bc78","Thioalkalispiraceae","uncultured_Ga0077536_3","Unkn_Gamma_IncertSedis","uncultured_HOC36_3","uncultured_KI89A_clade_3","Nitrosococcaceae","Hahellaceae","Pseudohongiellaceae","Woeseiaceae","Tenderiaceae","Thiohalorhabdaceae","uncult_UBA10353_1","uncult_UBA10353_2","Vibrionaceae","eub62A3_1","Leptospiraceae","uncultured_Spirochaetes_1","uncultured_Spirochaetes_2","Methylacidiphilaceae","Puniceicoccaceae","Pedosphaeraceae"
"algae-T1-s1-r1",0,8,0,0,149,5,35,0,0,2,13,643,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,7,451,194,0,110,8,11,0,0,0,0,0,0,0,0,0,0,0,0,84,0,4,64,6,0,0,0,18,0,764,0,0,145,159,4,2,9,0,0,2,0,0,0,0,0,27,0,0,0,0,33,26,44,14,0,0,0,0,0,13,0,18,0,17,0,69,0,220,0,0,14,0,0,0,0,0,12,0
"algae-T1-s1-r2",8,0,0,0,1481,51,189,12,0,0,83,4467,15,4,0,0,0,0,4,0,0,0,0,0,0,0,277,13,0,0,5841,0,0,793,0,0,0,0,3,0,0,10,8,5,24,0,0,0,60,0,17,397,12,0,0,0,341,30,5481,11,0,808,0,0,43,26,27,0,24,0,0,5,0,0,147,0,106,0,0,11,48,242,0,0,0,0,0,0,167,0,11,0,0,0,84,0,865,0,0,0,0,0,0,0,0,60,0
"algae-T1-s1-r3",0,13,0,0,3269,103,43,10,0,9,192,11794,42,55,2,0,65,6,5,0,0,0,0,0,0,0,6,0,0,19,9356,190,0,397,0,5,0,7,0,0,0,24,8,7,131,0,0,0,869,0,93,1375,44,0,21,0,934,27,13779,0,0,2668,15,87,303,137,19,0,69,0,17,9,0,0,339,21,320,0,0,494,191,451,40,0,0,0,0,0,150,0,29,0,159,0,169,43,6900,0,0,4,0,0,0,0,0,122,0
"algae-T1-s2-r1",0,0,0,0,260,0,0,0,0,7,6,723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,798,0,0,116,0,0,0,0,0,0,0,3,2,0,6,0,0,0,35,0,0,70,0,0,0,0,32,0,1418,0,0,184,0,0,0,0,0,2,3,2,0,0,0,0,14,0,32,0,0,23,12,15,0,0,0,0,0,0,4,0,0,0,0,0,0,0,598,0,0,0,0,0,0,0,0,3,0
"algae-T1-s2-r2",4,0,0,0,2452,131,91,23,0,31,52,7854,91,31,6,0,35,18,18,0,0,0,0,4,0,0,12,0,15,11,3797,52,0,308,0,0,0,8,0,0,3,12,3,15,41,0,0,0,409,0,84,1078,55,0,0,0,418,22,8619,0,0,1308,23,70,77,83,13,0,31,15,0,22,0,0,165,0,119,0,0,196,70,119,31,16,0,0,0,0,145,0,0,0,12,14,98,0,4221,0,0,0,0,0,0,0,0,61,5
"algae-T1-s2-r3",0,0,0,0,524,24,3,6,0,9,15,2819,93,3,0,0,20,0,0,0,0,0,0,12,0,0,0,0,0,0,1156,39,0,318,0,4,0,0,0,0,0,10,8,0,30,0,0,0,137,0,16,472,22,0,0,0,114,0,3997,0,0,598,7,16,33,18,8,0,5,0,0,0,0,0,48,0,31,0,0,101,59,0,0,0,0,0,0,0,30,0,0,0,0,0,69,4,2299,0,0,0,0,0,0,0,0,17,0
"algae-T2-s1-r1",11,55,7,0,364,58,193,8,0,0,15,474,0,0,12,0,32,66,43,9,5,13,17,5,0,6,109,26,6,93,40,0,0,37,0,0,34,14,12,3,7,0,0,0,0,0,6,6,99,6,19,37,40,0,42,38,45,0,784,17,0,30,411,205,30,8,5,5,0,108,10,13,13,20,10,0,0,29,4,32,13,163,276,98,4,25,91,12,90,51,106,16,1376,26,212,70,117,0,28,61,42,3,3,0,2,42,7
"algae-T2-s1-r2",0,11,0,0,19,13,16,13,0,2,0,196,0,0,0,0,25,0,15,0,0,0,0,0,0,0,404,0,0,0,0,0,0,47,0,17,7,0,0,0,0,0,0,0,0,0,0,0,15,0,0,24,0,0,0,6,14,0,373,0,0,0,69,0,0,0,0,0,0,8,6,0,0,0,22,49,0,0,0,10,2,0,0,0,0,0,5,0,6,6,16,0,293,0,67,0,28,0,5,10,6,0,0,0,5,29,0
"algae-T2-s1-r3",15,92,6,4,544,54,251,99,6,4,4,830,0,7,9,4,119,3,56,4,0,10,0,13,5,26,105,67,63,33,192,7,17,195,33,10,13,21,0,3,0,0,0,0,5,0,6,0,57,2,23,95,61,10,48,24,187,0,2112,0,4,67,292,233,45,47,0,6,0,61,15,25,16,16,37,134,17,0,0,75,35,348,159,88,0,0,40,23,133,45,66,19,2449,21,223,71,214,3,29,95,0,2,2,0,12,132,10
"algae-T2-s2-r1",13,109,0,7,921,281,249,211,6,11,27,1235,8,26,33,0,87,32,111,2,0,0,0,21,40,24,538,30,141,59,292,0,0,598,33,204,0,44,0,2,6,5,0,0,0,2,38,0,165,5,0,128,100,0,53,0,150,0,3167,0,9,158,0,37,86,63,11,5,13,50,18,47,46,0,159,265,63,19,22,24,53,773,84,76,0,0,77,18,314,58,67,20,1308,28,268,125,57,13,31,56,61,4,8,7,53,315,15
"algae-T2-s2-r2",15,140,2,8,651,95,231,55,0,0,10,955,0,8,12,4,46,46,49,6,0,5,3,9,10,12,366,8,106,0,168,32,118,165,0,36,38,12,11,3,0,0,3,0,0,0,12,3,85,0,19,137,70,0,69,0,144,0,2428,12,0,24,217,129,92,32,4,0,0,35,17,32,14,15,48,205,50,21,0,56,32,331,94,83,0,6,55,8,149,21,54,18,1983,19,139,60,119,0,29,30,60,12,10,4,37,162,0
"algae-T2-s2-r3",26,96,14,2,503,42,489,17,5,0,33,732,0,0,40,6,24,35,98,11,5,11,12,12,13,0,103,6,24,46,69,0,14,206,14,0,78,39,14,5,0,8,0,0,0,4,5,4,242,22,11,101,65,4,128,87,107,0,1684,14,0,54,757,302,25,14,13,0,0,119,28,14,18,33,0,26,27,37,0,56,12,333,470,52,10,25,22,30,225,55,86,18,3270,27,418,93,317,39,0,45,5,17,0,0,14,62,0
"water-T1-s1-r1",0,0,0,0,139,24,216,46,3,3,20,1377,10,23,3,0,0,0,7,0,0,0,3,0,0,0,0,0,21,0,142,0,0,0,0,0,0,0,4,0,0,19,4,19,14,0,0,0,131,0,40,117,0,0,0,0,57,5,3312,6,0,467,20,14,102,26,0,0,5,32,0,3,0,0,3854,17,19,0,0,60,591,79,10,0,0,0,0,0,17,0,0,0,0,13,75,0,363,0,0,2048,0,0,0,0,0,92,5
"water-T1-s1-r2",0,0,0,0,23,0,44,3,0,0,13,534,0,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,103,0,0,5,0,0,0,0,0,0,0,2,4,10,0,0,0,0,39,0,14,55,0,0,0,0,25,3,790,0,0,105,0,0,14,18,0,0,2,0,0,0,0,0,1506,0,8,0,0,7,210,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,743,0,0,0,0,0,34,0
